Title,Company,Description,Size,URL
Backend Engineer,Sprig,"About SprigSprig is a user insights platform backed by top-tier investors, including Andreessen Horowitz, Accel, and First Round Capital. Our suite of products enable our customers to combine traditional analytics with qualitative product data so they can build an exceptional product experience for their users. Leading tech companies like Notion, Square, Dropbox and Figma use Sprig to build best-in-class, customer centric products. Most recently, we've partnered with Calendly and TripAdvisor and continue to see exceptional growth and diversity within our customer base.At Sprig, we pride ourselves on being a people-first company, where your contributions truly matter and are valued. We were recently awarded by Fortune as top 50 best places to work in the US, and top 50 Places to Work in the Bay Area by Built In. Come join our mission of building products users love and have a real impact on Sprig's future.More about our mission, values, and why it's a great time to join us can be found here.About This RoleWe're looking for a talented Backend Engineer to join our Data Team. The Data Team at Sprig is responsible for the backend architecture, data ingestion, processing and storage systems, as well as playing a critical role in ensuring our platform's reliability, scalability, and performance. You will work closely with cross-functional teams to design, build, and maintain features and the infrastructure that powers our innovative product research solutions. Ultimately, your work will have a direct impact on the success of our customers by providing reliable, scalable, and insightful research tools, so they can build customer-centric products that resonate with their users.This role is based in San Francisco with 2-3 days working in the office.Your ImpactEnabling customer insights via implementing and optimizing features that power our event-based targeting systems.Collaborating with product managers, AI engineers, and product engineers, you will facilitate the integration of backend systems with other components of the platform.Staying ahead of the latest technologies and integrating them into our systems will keep Sprig at the cutting edge of product research solutions. Your proactive approach to innovation will ensure our platform remains competitive and capable of meeting future challenges.Driving data integrity and security by managing and maintaining databases. This is crucial for maintaining the trust of our clients and ensuring the accuracy of the insights generated by our platform.Enhancing platform scalability and performance by designing and developing robust backend systems.Your Strengths2+ years of software engineer experience with focus on platform, backend system, data infrastructure, or distributed computing.Experience with some of the technologies we use, e.g., Redis, Kubernetes, Postgres, ClickHouse, Kafka, gRPC, REST, WebSocket, and S3.Write high quality production code using Node.js or Golang.Excellent written and verbal communication skills.Quick learner and good team player.Experience with low latency high volume data stores and platforms is a big plus.Benefits & PerksCompetitive SalaryCompetitive Employee Equity401K ProgramMedical, Dental, and Vision BenefitsFSA/HSA Benefit$150/month Commuter BenefitAdditional Wellbeing BenefitsFlexible Paid Time OffPaid Parental LeaveProfessional Development StipendHybrid Office PolicyLunch available 5x a week in SF and NYCDinner available 2x a week in SFCompany Sponsored Social EventsOur Commitment to Diversity and InclusionWe prioritize diversity within our team and value different perspectives, educational backgrounds, and life experiences. We encourage people from underrepresented backgrounds to apply.We're ""Great Place to Work"" Certified! Check out our profile.Employee Pay DisclosureThe base salary range for this full-time position is $140,000 - $170,000 + Equity + Benefits. Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position across all locations (San Francisco, CA; New York, NY). Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your Recruiter can share more about the specific salary range for your preferred location during the hiring process. Please note that the compensation details listed in postings reflect the base salary only, and do not include equity or benefits.***Please beware of scammers who are posing as Sprig and Sprig team members. Our recruiters use @sprig.com email addresses exclusively. We do not conduct interviews via text or instant message, and we do not ask candidates to purchase equipment through us or solicit money from you. If you have been contacted by someone claiming to be from a different domain about a job offer, please report it as potential job fraud to law enforcement and contact us here.***                                                                    ",51-200 employees,https://www.linkedin.com/jobs/view/backend-engineer-at-sprig-3941962840?position=21&pageNum=0&refId=2IkSNaBxRXYP8TX42KWjEQ%3D%3D&trackingId=xD7vDC4gxIpG92g4jWk1WA%3D%3D&trk=public_jobs_jserp-result_search-card
"Software Engineer Intern, Full-Stack",Loop,"About LoopLoop is on a mission to unlock profits trapped in the supply chain (https://loop.com/article/unlock-profit-trapped-in-your-supply-chain) and lower costs for consumers. Bad data and inefficient workflows create friction that limits working capital and raises costs for every supply chain stakeholder.Loop's modern audit and pay platform uses our domain-driven AI to harness the complexity of supply chain data and documentation. We improve transportation spend visibility so companies can control their costs and power profit. That is why industry leaders like J.P. Morgan Chase, Great Dane, Emerge, and Loadsmart work with Loop.Our investors include J.P. Morgan, Index Ventures, Founders Fund, 8VC, Susa Ventures, Flexport, and 50 industry-leading angel investors. Our team brings subject matter expertise from companies like Uber, Google, Flexport, Meta, Samsara, Intuit, Rakuten, and long-standing industry leaders like C.H. Robinson.About YouAs a full-stack engineer, you will work closely with founders and customers to understand and solve their logistics billing and payment pain points. You will help define the product and ship features that directly impact our customers. You will face and solve many complex technical challenges while you receive guidance and feedback from the team. You will shape the Loop DNA and define how we grow as a company.ResponsibilitiesWork cross-functionally with product, design, and sales to understand requirements and ship thoughtful solutions. Write high-quality code optimized for extensibility. Engage in code reviews to maintain a high bar of engineering excellence. Lead discussions and documentation to communicate and arrive at the best technical design. Work across different components boundaries, from frontend to backend, and even infrastructure layers. Promote better practices and share technical knowledge across the team. Help grow Loop through deliberate feedback on product, process, and culture. QualificationsExperience with TypeScript and tools such as GraphQL, Relay, React, and Node.js. Experience working at early-stage companies where you shipped products end to end and wore many hats. Under the HoodInfrastructure: AWS, CDK, Fargate ECS Backend: TypeScript, Node.js, Prisma, NestJS, PostgreSQL, Redis, Elasticsearch, GraphQL Frontend: TypeScript, React, Relay, Ant Design, Vite, GraphQL Why you should join Loop? - https://whyyoushouldjoin.substack.com/p/loop                                                                    ",51-200 employees,https://www.linkedin.com/jobs/view/software-engineer-intern-full-stack-at-loop-3841325655?position=22&pageNum=0&refId=2IkSNaBxRXYP8TX42KWjEQ%3D%3D&trackingId=KdP4qrD3tXGC7hCoiBmpVw%3D%3D&trk=public_jobs_jserp-result_search-card
Full-stack Software Engineer,Tripalink,"Location: Hybrid/Remote. Preferred: LA, SF Bay Area, Austin.Job Type: Full-TimeTripalink is a well-funded growth-stage Proptech startup headquartered in Los Angeles backed by prominent technology investors in Silicon Valley and others deeply rooted in the real estate space. We’re dedicated to building the next-gen real estate solutions powered by AI, with a current focus on delivering a frictionless experience end to end for renters and compelling economics for property owners. We have strong and accelerating momentum, having grown 7x in the last 3 years despite the tough environment for startups and the aggressive interest rate hikes negatively impacting the real estate market.We are seeking full-stack engineers passionate about building products that delight users and are scalable and secure. The ideal candidates will be self-driven, strong on programming and problem-solving, and experienced in modern software product development processes and best practices.Main Responsibilities:Participate in the full software development lifecycle of design, development, testing, and maintenance for both frontend and backend componentsWrite high-quality, high-performance, scalable, and secure codeCollaborate with product managers, designers, operation teams, and other team members to deliver high-quality productsAssist team members in resolving technical issues and elevating the overall technical acumen of the teamStay abreast of emerging technologiesRequirements:1-3 years of full-stack development experience. Experience in shippping SaaS products or Internet services at tech companies is highly desirableBachelor's or Master’s degree in Computer Science or a related fieldProficiency in programming languages such as Java, Python, JavaScript, or comparable onesFamiliarity with application frameworks, such as Spring Boot, React, Angular, Node.js, Django, etcExperience in AWS and relational databases such as MySQL, PostgreSQL, etcStrong problem-solving skills with the ability to work independently and manage multiple tasks under pressureAbility to communicate effectively and work well as part of a team in a fast-paced environment that optimizes for quick iterations. The estimated annual base salary for this role is $90,000 - $160,000.                                                                    ",51-200 employees,https://www.linkedin.com/jobs/view/full-stack-software-engineer-at-tripalink-3919967332?position=23&pageNum=0&refId=2IkSNaBxRXYP8TX42KWjEQ%3D%3D&trackingId=1NtDnp6y19bn0BGh97YHMQ%3D%3D&trk=public_jobs_jserp-result_search-card
Frontend Software Engineer,HeyGen,"The mission at HeyGen is to make visual storytelling accessible to all. HeyGen is the fastest-growing generative AI platform for anyone who wants to create videos for their business. Come join our team in revolutionizing the way videos are created.Learn more at www.heygen.comHeyGen, a trailblazing AI-powered platform transforming the landscape of video creation, is seeking a talented Frontend Engineer to join our dynamic team. As a Frontend Engineer at HeyGen, you will play a crucial role in shaping the future of our cutting-edge platform, focusing primarily on the development and enhancement of its user-facing components.Key Responsibilities:Frontend Development: Design, implement, and maintain high-quality frontend features for the HeyGen platform. Ensure optimal performance, scalability, and responsiveness of the user interface.Collaboration: Work closely with UX/UI designers to translate designs and wireframes into high-quality code. Collaborate with backend engineers and product managers to ensure seamless integration of frontend and backend components.User Experience Focus: Prioritize user experience in all development efforts. Conduct user testing and feedback sessions to refine and improve the platform interface.Maintenance & Optimization: Monitor the frontend performance, identify and resolve issues. Stay updated with emerging frontend technologies and best practices to continually enhance the platform's user interface.Qualifications:Proficiency in frontend technologies such as React, JavaScript, CSS, and HTML.Experience with responsive and adaptive design principles.Familiarity with RESTful API integration.Understanding of version control systems like Git.Excellent problem-solving skills and attention to detail.Prior experience in SaaS and AI product development is a plus.What HeyGen Offers:Competitive salary and benefits package.Dynamic and inclusive work environment focused on innovation and creativity.Opportunities for professional growth and skill development.Collaborative culture that values teamwork and employee input.Access to state-of-the-art technologies and tools.HeyGen is an Equal Opportunity Employer. We celebrate diversity and are committed to creating an inclusive environment for all employees.Join us at HeyGen and be part of a team that's reshaping the world of video creation through innovative technology!                                                                    ",11-50 employees,https://www.linkedin.com/jobs/view/frontend-software-engineer-at-heygen-3942240216?position=24&pageNum=0&refId=2IkSNaBxRXYP8TX42KWjEQ%3D%3D&trackingId=KWA5LsM9p8dHmOhT75X4EQ%3D%3D&trk=public_jobs_jserp-result_search-card
"Software Engineer, Web Performance",Notion,"About UsWe're on a mission to make it possible for every person, team, and company to be able to tailor their software to solve any problem and take on any challenge. Computers may be our most powerful tools, but most of us can't build or modify the software we use on them every day. At Notion, we want to change this with focus, design, and craft.We've been working on this together since 2016, and have customers like Pixar, Mitsubishi, Figma, Plaid, Match Group, and thousands more on this journey with us. Today, we're growing fast and excited for new teammates to join us who are the best at what they do. We're passionate about building a company as diverse and creative as the millions of people Notion reaches worldwide.Notion is an in-person company, and currently requires its employees to come to the office for two Anchor Days (Mondays & Thursdays) and requests that employees spend the majority of their week in the office (including a third day).About The RoleThe Web Infrastructure team’s mission is to own the foundation of Notion’s web-based clients and to empower engineers to build performant, scalable, and accessible product experiences within them. We’re striving for a Notion that is fast, resilient, and reliable on slow devices or with spotty connections. We’re currently using TypeScript and React and make heavy use of web technologies in all clients, including the desktop and mobile apps.What You'll Do Shape and Build: We’re running cross-company and cross-stack initiatives to make Notion faster. Recently, we’ve built things like:A wasm build of Sqlite running in a web worker to cache records on the clientLazy-loading abstractions to cut the size of our app bundle in half“In the field” aggregate profiles using JavaScript’s self-profiling APIsLead the Industry: We want to give you the space and time to not just make Notion’s performance “acceptable” but truly redefine what a fast web application can look like.Full-Stack Expertise: You'll engage with all layers of the stack, spanning server and client environments, utilizing technologies like AWS, Postgres, NodeJS, WebSockets, React etc. No part of the stack is off-limits: Working on performance comes with an “Access All Areas” pass. Innovative solutions to our performance problems might span the client, the backend, and the networking layer in-between.What We're Looking ForYou have 6+ years of engineering experience, including expertise in optimizing the performance of client-side JavaScript.Impact Driven: You care about user impact and prioritize projects accordingly. You're not motivated to use new technologies on their own, but through careful analysis of their applicability to the problem at hand, taking into account long term implications of technical decisions.Keen Problem Observer: Have a clear and accurate understanding of context and possess a sharp eye for identifying potential problems and risks both short term and long term.Thoughtful Problem-solving: You seek to understand complex problems deeply in order to develop multiple solutions, from which you can articulate tradeoffs between user impact, timeline, scope, craft, and tech debt.Clear and Empathetic Communication: You communicate nuanced ideas clearly, whether you're explaining technical decisions in writing or brainstorming in real time. In disagreements, you engage thoughtfully with other perspectives and work together to find agreeable outcomes.Collaborative Team Member: You enjoy collaborating cross-functionally beyond team boundaries to accomplish shared goals. You care about learning, growing, and helping others to do the same.Bonus PointsYou have engaged critically with frameworks like React and maybe even developed some of your own abstractions.You previously enabled those around you to build products with better performance - by building developer tooling, benchmarks in CI, or helpful documentation.You've heard of computing pioneers like Ada Lovelace, Douglas Engelbart, Alan Kay, and others—and understand why we're big fans of their work.We hire talented and passionate people from a variety of backgrounds because we want our global employee base to represent the wide diversity of our customers. If you’re excited about a role but your past experience doesn’t align perfectly with every bullet point listed in the job description, we still encourage you to apply. If you’re a builder at heart, share our company values, and enthusiastic about making software toolmaking ubiquitous, we want to hear from you.Notion is proud to be an equal opportunity employer. We do not discriminate in hiring or any employment decision based on race, color, religion, national origin, age, sex (including pregnancy, childbirth, or related medical conditions), marital status, ancestry, physical or mental disability, genetic information, veteran status, gender identity or expression, sexual orientation, or other applicable legally protected characteristic. Notion considers qualified applicants with criminal histories, consistent with applicable federal, state and local law. Notion is also committed to providing reasonable accommodations for qualified individuals with disabilities and disabled veterans in our job application procedures. If you need assistance or an accommodation made due to a disability, please let your recruiter know.Notion is committed to providing highly competitive cash compensation, equity, and benefits. The compensation offered for this role will be based on multiple factors such as location, the role’s scope and complexity, and the candidate’s experience and expertise, and may vary from the range provided below. For roles based in San Francisco or New York, the estimated base salary range for this role is $130,000 - $250,000 per year.                                                            ","501-1,000 employees",https://www.linkedin.com/jobs/view/software-engineer-web-performance-at-notion-3855208952?position=25&pageNum=0&refId=2IkSNaBxRXYP8TX42KWjEQ%3D%3D&trackingId=Z%2Bi8P%2Bg1mCY3f6EFGY2n%2Fg%3D%3D&trk=public_jobs_jserp-result_search-card
"Software Engineer, Backend",OpenAI,"About The TeamWe bring OpenAI's technology to the world through products like ChatGPT and the OpenAI API.We seek to learn from deployment and distribute the benefits of AI, while ensuring that this powerful tool is used responsibly and safely. Safety is more important to us than unfettered growth.About The RoleAs OpenAI scales, we’re looking for experienced, problem-solving engineers to build new products and scale our systems. Our success depends on our ability to quickly iterate on products while also ensuring that they are performant and reliable.You’ll work in a deeply iterative, collaborative, fast-paced environment to bring our technology to millions of users around the world, and ensure it’s delivered with safety and reliability in mind.In This Role, You WillDesign and build the development and production platforms that power ChatGPT, enabling reliability and security at scalePartner with researchers, engineers, product managers, and designers to bring new features and research capabilities to the worldAccelerate engineering productivity by empowering your fellow engineers with excellent tooling and systemsHelp create a diverse, equitable, and inclusive culture that makes all feel welcome while enabling radical candor and the challenging of group thinkLike all other teams, we are responsible for the reliability of the systems we build. This includes an on-call rotation to respond to critical incidents as neededYou Might Thrive In This Role If YouHave meaningful experience with building (and rebuilding) production systems to deliver new product capabilities and to handle increasing scaleCare deeply about the end user experience and take pride in building products to solve customer needsHave a humble attitude, an eagerness to help your colleagues, and a desire to do whatever it takes to make the team succeedOwn problems end-to-end, and are willing to pick up whatever knowledge you're missing to get the job doneBuild tools to accelerate your own (and your teammates’) workflows, but only when off-the-shelf solutions won’t doHave been a startup founder or an early-stage engineerAbout OpenAIOpenAI is an AI research and deployment company dedicated to ensuring that general-purpose artificial intelligence benefits all of humanity. We push the boundaries of the capabilities of AI systems and seek to safely deploy them to the world through our products. AI is an extremely powerful tool that must be created with safety and human needs at its core, and to achieve our mission, we must encompass and value the many different perspectives, voices, and experiences that form the full spectrum of humanity.We are an equal opportunity employer and do not discriminate on the basis of race, religion, national origin, gender, sexual orientation, age, veteran status, disability or any other legally protected status.For US Based Candidates: Pursuant to the San Francisco Fair Chance Ordinance, we will consider qualified applicants with arrest and conviction records.We are committed to providing reasonable accommodations to applicants with disabilities, and requests can be made via this link.OpenAI Global Applicant Privacy PolicyAt OpenAI, we believe artificial intelligence has the potential to help people solve immense global challenges, and we want the upside of AI to be widely shared. Join us in shaping the future of technology.                                                                    ",201-500 employees,https://www.linkedin.com/jobs/view/software-engineer-backend-at-openai-3915648723?position=26&pageNum=0&refId=2IkSNaBxRXYP8TX42KWjEQ%3D%3D&trackingId=Dwevs5vxK3DO1OHyBZoKMA%3D%3D&trk=public_jobs_jserp-result_search-card
Software Engineer - Fullstack,Ever,"About Ever:Ever is a fast-moving, venture-backed marketplace and technology business, building the next industry-defining company in the electric mobility and household electrification space. Our mission is to help consumers and businesses toward a clean energy future.We are starting by building the best possible experience for buying and selling electric vehicles. Our retail and marketplace platform (evercars.com) was launched in late 2023, and our early momentum has been very strong.As a small but strong early-stage team, we are looking to onboard world-class engineers, product designers, and operators to key roles in our core team. You'll work closely with the founders and the rest of our team, taking strong ownership of key initiatives and building the leading marketplace and operations products that help us fulfill our mission.What You'll Do:You'll work alongside the CTO and engineering team to build a generational EV platform to serve consumers on their journey from EV's to broader electrification initiatives.Work directly with the founders, users, and customers to create positive product feedback loops and define engineering roadmaps.Contribute to projects across the stack.Lead, grow, and build our team with an engineering first culture.Qualifications & Fit:3+ years of relevant software engineering experience in a fast paced environmentPassion for EVs, climate, & unsolved challenges in the shift towards electric mobilityExperience in a professional fullstack environmentExperience leading technically challenging projects and working with stakeholders across multiple domainsTechnical skills:3+ years of experience delivering, scaling, and owning highly successful and innovative productsFamiliarity with technologies in our stack: (Go, Node, React, MySQL, AWS)Experience with real-world system design challenges, large scale applications, and data pipelinesBenefits:Competitive salary and equityUnlimited PTOHealth, dental, and visionEver is an equal opportunity employer. We encourage applicants from all backgrounds and experiences to apply.                                                            ",11-50 employees,https://www.linkedin.com/jobs/view/software-engineer-fullstack-at-ever-3927304003?position=27&pageNum=0&refId=2IkSNaBxRXYP8TX42KWjEQ%3D%3D&trackingId=imnZJ2uebvrruzdbC0bdnA%3D%3D&trk=public_jobs_jserp-result_search-card
Junior Front End Engineer,minware,"About Minwareminware provides engineering business metrics that show the true cost of engineering impediments. This helps organizations make better decisions with stronger alignment between engineers and executives.Kevin Borders founded minware after bootstrapping his previous company to $86m in revenue and selling in 2021, with the idea of helping others benefit from lessons learned growing an engineering team from 0 to 40.minware is a self-funded seed-stage company. After promising initial customer traction, we are looking for people who share our values to help bring minware to a larger audience.The RoleAs an early engineer, you will have the unique opportunity to work directly with minware's founders to build the product from the ground up. We are looking for someone who enjoys designing, developing, and maintaining front-end software.We are seeking an ambitious and nice junior engineer who has experience independently executing complex projects and building scalable, maintainable software. As a purveyor of developer productivity analytics, we are diligent about process efficiency and code quality. Though we are small, we try to avoid unnecessarily creating technical debt and are looking for someone who can lead us toward this goal.Primary ResponsibilitiesDevelop UX/UX components for customer facing applications to enhance scalability, performance, and user experienceWork closely with product managers and customers to define minware's capabilitiesPerform code reviews, unit testing, and continuous integration to maintain code quality standardsManage a backlog of tech debt reduction and internal efficiency improvementsQualificationsFamiliarity with principles of high-quality code, including continuous integration, declarative and functional programmingStrong communication skills for interfacing with non-technical stakeholders and occasionally with customersWell-versed in agile or lean planning and project management processesProficiency in Figma, HTML, and CSSExperience with the core stack (Next.js, Apollo GraphQL, React) or similar technologies is preferredBenefits and PerksCompetitive base salary, bonus, and seed-stage equity compensation100% remote work, flexible hours, and unlimited vacation policy. (Read here about how we built trust in our previous all-remote company.)Full health care premium coverage for you and your familyUnique career development guidance reporting directly to the founder/CEOWe offer competitive compensation packages along with stock options based on industry benchmarks for function, and level. Offer amounts are determined by multiple factors such as a candidate's experience and expertise.Base Compensation:$80,000—$120,000 USD                                                                    ",11-50 employees,https://www.linkedin.com/jobs/view/junior-front-end-engineer-at-minware-3886626110?position=28&pageNum=0&refId=2IkSNaBxRXYP8TX42KWjEQ%3D%3D&trackingId=Ti1SosCNCxDBmudIepQMqA%3D%3D&trk=public_jobs_jserp-result_search-card
Software Engineer,Amicus,"Software Engineer - $140,000 - $200,000I have recently partnered with a cutting-edge AI SaaS company founded by some of the youngest entrepreneurs in the Bay Area. Off the back of a successful Series B round, the organization is now looking to scale their engineering team by 20 new engineers who come from a high academic background.CompanyWith over 3 years of successful operation, they have established themselves as real threats in the market with the AI tools they are creating for developers. Their SaaS platform is revolutionizing foundational models. They realized that the combination of recent advances in generative models and their world-class optimized deep learning serving software will provide users with top quality AI-based products at the lowest possible costs. Right now, they are entering a massive growth phase. The product has been launched and the response has been elite. They are looking for software engineers to join their mission to build AI superpowers for developers.RoleIn this role, you will be working with some of the smartest engineers in the US. Most engineers are polyglot engineers who predominately use Python, Golang, TypeScript, and C++. You will be building, maintaining, and updating the extensions and plugins for this organization’s IDEs. You should also expect to be working with ML training, infrastructure, applied research, product growth, and continue to develop the extensions.Experience/interest in working with AI or MLExperience/interest with distributed systems and infrastructure tools.Tech Stack: C++, TypeScript, Golang, Python, Kotlin, and LuaWe're looking for a high academic background from top schools such as Stanford, Berkeley, Harvard, MIT, Yale, Princeton, CalTech etc. Salary will be dependent on experience and is between $140,000 and $220,000. This will be supported with a full healthcare package as well as 401k matching. This role will be on-site, 5 days/week, based out of downtown San Francisco.                                                            ",11-50 employees,https://www.linkedin.com/jobs/view/software-engineer-at-amicus-3924707625?position=29&pageNum=0&refId=2IkSNaBxRXYP8TX42KWjEQ%3D%3D&trackingId=te7QGQ2I2ogg5ppZ4356KQ%3D%3D&trk=public_jobs_jserp-result_search-card
Early Full-Stack Engineer,Vitalize Care,"🪓 About the roleStaffing shortages are the #1 problem for health systems. Over the last 3 years, labor spend has increased >260% but revenues aren’t keeping up. Optimizing existing labor resources and filling staffing gaps efficiently is a must for every health system, but current staffing and scheduling processes are broken and antiquated. Nursing leaders are spending 50% of their time on manual scheduling tasks, while staffing decisions typically come down to a combination of phone-tag and guesswork.Vitalize Care’s software enables health systems to optimize their labor resources and staff to real-time patient demand. We project saving each hospital customers >$2.5M in labor costs annually, while saving their frontline managers 2 - 3 hours/day in manual work by automating scheduling tasks.We’ve already secured $1M+ ARR from multiple health systems, and have raised $3.8M from top seed investors and executives at hospitals around the country.🪓 About the roleWe're hiring for an Full-stack Engineer to join our team (Engineer #4) and contribute to all aspects of our product. Our engineers take end-to-end ownership of features that ultimately help our early health system customers operate more efficiently and solve their biggest workforce challenges.🧭 ResponsibilitiesProduct Ownership: Collaborate with co-founders to build product features for early customers and execute on our initial set of health system implementations. Drive the development of features to facilitate rapid iteration, evolution, and scalability.Customer Engagement: Work closely with early customers to understand business requirements and build features that really matterContribute to Roadmap: Balance trade-offs between speed, reliability, UX, and technical debt to deliver on our cycle goals and long-term visions.Team Growth: Help grow the engineering organization and set cultural direction💪 Why Work with Us?We’ve already signed contracts spanning 12 hospitals, giving us a clear roadmap to scale.Opportunities to visit our health system customers in-person, where you can see the problem and the impact of our product firsthand.We move fast, and ship to production several times a week. We have team members on the ground at our customer sites to actively collect feedback to inform product improvements.                                                            ","San Francisco, CA",https://www.linkedin.com/jobs/view/early-full-stack-engineer-at-vitalize-care-3837056337?position=30&pageNum=0&refId=2IkSNaBxRXYP8TX42KWjEQ%3D%3D&trackingId=uo9DVTwIaYJyYm52aY5cFw%3D%3D&trk=public_jobs_jserp-result_search-card
"Software Engineer, Data Platform",Notion,"About UsWe're on a mission to make it possible for every person, team, and company to be able to tailor their software to solve any problem and take on any challenge. Computers may be our most powerful tools, but most of us can't build or modify the software we use on them every day. At Notion, we want to change this with focus, design, and craft.We've been working on this together since 2016, and have customers like Pixar, Mitsubishi, Figma, Plaid, Match Group, and thousands more on this journey with us. Today, we're growing fast and excited for new teammates to join us who are the best at what they do. We're passionate about building a company as diverse and creative as the millions of people Notion reaches worldwide.About The RoleYou’ll join a team of talented engineers who will design and own foundational data capabilities that are key to the company’s business and product. Notion’s data platform and infrastructure are vital to both empowering every team at Notion to make decisions using data and experimentation, and enabling our product features, like search, user notifications, workspace analytics and Notion AI. We are hiring engineers across multiple levels.What You'll AchieveYou'll work cross-functionally with partners from the Data Science, Data Engineering, AI, Product, Go-to-Market, Legal and Finance organizations to deliver short- and long-term impactYou’ll help in influencing / executing the roadmap for data infrastructure and systems to power high volume product features using Notion’s data.You'll play a pivotal role in the development of tools and infrastructure that democratize data access and enable analytics capabilities across the organizationYou'll determine the best ways to handle Notion's unique data model and usage patterns to derive insights and bring intelligence to product features like search and discovery.Skills You'll Need To BringYou have experience with big data ingestion, compute, and storage systems based on Spark, Kafka, Flink, and data lake and data warehouse technologies.You have worked on data or infrastructure-focused engineering teams, particularly ones that own a wide swath of software platforms (hosted or built in-house).You've experienced the challenges of scaling and re-architecting data platforms and infrastructure through orders of magnitude of growth and scaling data volume.Nice To HavesYou've built out data infrastructure from, or nearly from, scratch at a fast-growing startup.You've led a Data Platform / Infrastructure / Data Engineering Team.You have experience building MLOps and ML serving infrastructure.Our customers come from all walks of life and so do we. We hire great people from a wide variety of backgrounds, not just because it's the right thing to do, but because it makes our company stronger. If you share our values and our enthusiasm for small businesses, you will find a home at Notion.Notion is proud to be an equal opportunity employer. We do not discriminate in hiring or any employment decision based on race, color, religion, national origin, age, sex (including pregnancy, childbirth, or related medical conditions), marital status, ancestry, physical or mental disability, genetic information, veteran status, gender identity or expression, sexual orientation, or other applicable legally protected characteristic. Notion considers qualified applicants with criminal histories, consistent with applicable federal, state and local law. Notion is also committed to providing reasonable accommodations for qualified individuals with disabilities and disabled veterans in our job application procedures. If you need assistance or an accommodation made due to a disability, please let your recruiter know. Notion is committed to providing highly competitive cash compensation, equity, and benefits. The compensation offered for this role will be based on multiple factors such as location, the role’s scope and complexity, and the candidate’s experience and expertise, and may vary from the range provided below. For roles based in San Francisco, the estimated base salary range for this role is $150,000 - $250,000 per year.                                                            ","501-1,000 employees",https://www.linkedin.com/jobs/view/software-engineer-data-platform-at-notion-3899639547?position=31&pageNum=0&refId=2IkSNaBxRXYP8TX42KWjEQ%3D%3D&trackingId=hQgLiX8MTHlv5v70XPFo4w%3D%3D&trk=public_jobs_jserp-result_search-card
